edge,hc_delve,delve,standard,hardcore
Chaos Orb-Jewellers Orb,3.9648829431438126,40.61989649223692,8.595744680851064,0.007097791798107256
Jewellers Orb-Chaos Orb,3.891861761426979,31.98734905117884,8.150512214342001,0.007097791798107256
Chaos Orb-Orb of Alchemy,3.117614269788183,33.79470960322024,8.81639085894405,
Orb of Alteration-Chaos Orb,2.7876254180602005,35.5830937320299,9.567375886524824,0.015772870662460567
Orb of Alchemy-Chaos Orb,2.758082497212932,48.89764232317424,12.074862096138691,
Orb of Fusing-Chaos Orb,2.725752508361204,35.185163887291544,7.4602048857368,0.0007886435331230284
Chaos Orb-Orb of Fusing,2.612597547380156,56.6843013225992,16.29787234042553,
Chaos Orb-Orb of Chance,2.225752508361204,15.460034502587694,20.72655634357762,
Orb of Chance-Jewellers Orb,1.8890746934225195,1.3996549741230593,0.9070133963750985,
Jewellers Orb-Orb of Alteration,1.8623188405797102,9.390454284071305,0.789598108747045,
Regal Orb-Chaos Orb,1.693979933110368,12.009200690051754,3.129235618597321,0.1167192429022082
Chaos Orb-Regal Orb,1.5858416945373468,49.54226566992524,5.691095350669819,0.04574132492113565
Jewellers Orb-Orb of Alchemy,1.4810479375696768,7.815986198964922,0.30969267139479906,
Orb of Alchemy-Orb of Fusing,1.3121516164994427,6.069580218516388,0.2293144208037825,
Chaos Orb-Exalted Orb,1.1755852842809364,34.120759056929266,10.553191489361701,0.06861198738170347
Chaos Orb-Orb of Alteration,1.0061315496098104,27.918343875790683,9.962174940898345,0.017350157728706624
Chaos Orb-Chromatic Orb,0.9832775919732442,44.35020126509488,24.63593380614657,
Vaal Orb-Chaos Orb,0.9810479375696767,65.53536515238643,28.788810086682428,
Orb of Regret-Chaos Orb,0.9520624303232998,15.753881541115584,5.040189125295508,
Cartographer's Chisel-Chaos Orb,0.9342251950947603,59.46808510638298,11.69109535066982,
Chromatic Orb-Chaos Orb,0.8985507246376812,44.30132259919494,18.196217494089833,
Chaos Orb-Cartographer's Chisel,0.8835005574136009,14.2541690626797,3.123719464144996,
Chaos Orb-Orb of Regret,0.6755852842809364,26.55779183438758,7.304964539007092,
Chaos Orb-Gemcutter's Prism,0.649386845039019,26.09948246118459,6.200945626477542,0.04022082018927445
Orb of Scouring-Chaos Orb,0.6399108138238573,28.533640023001727,2.499605988967691,
Orb of Fusing-Orb of Alchemy,0.6148272017837235,8.617021276595745,1.6627265563435776,
Chromatic Orb-Jewellers Orb,0.5546265328874025,16.522139160437032,1.565799842395587,
Gemcutter's Prism-Chaos Orb,0.5301003344481605,15.215066129959746,2.520094562647754,0.03785488958990536
Chaos Orb-Orb of Scouring,0.5178372352285395,19.24381828637148,2.193853427895981,
Orb of Alchemy-Jewellers Orb,0.5105908584169454,3.6561242093156987,0.8219070133963751,
Exalted Orb-Chaos Orb,0.4944258639910814,15.845313398504889,22.9779353821907,
Orb of Alchemy-Orb of Regret,0.48606465997770343,1.9597469810235768,0.32702915681639083,
Chaos Orb-Vaal Orb,0.44648829431438125,32.80333525014376,15.121355397951143,
Orb of Chance-Chaos Orb,0.3701226309921962,19.002875215641172,8.710795902285264,
Divine Orb-Chaos Orb,0.3573021181716834,6.72225416906268,0.843183609141056,0.0007886435331230284
Orb of Alteration-Regal Orb,0.3500557413600892,1.1403105232892468,0.18360914105594955,
Orb of Fusing-Jewellers Orb,0.2993311036789298,3.2673950546290973,1.433412135539795,
Orb of Regret-Orb of Alchemy,0.2870680044593088,7.591144335825187,0.14026792750197006,
Orb of Fusing-Exalted Orb,0.2725752508361204,7.639447958596895,2.2907801418439715,
Orb of Regret-Orb of Fusing,0.2408026755852843,3.233467510063255,0.17415287628053586,
Exalted Orb-Orb of Fusing,0.2329988851727982,6.969522714203565,2.3624901497241924,
Orb of Fusing-Vaal Orb,0.21850613154960982,10.914318573893041,2.4862096138691885,
Chaos Orb-Divine Orb,0.19342251950947603,11.141460609545716,2.928289992119779,
Chromatic Orb-Orb of Alteration,0.19175027870680045,12.248418631397355,2.2387706855791962,
Orb of Fusing-Orb of Regret,0.1806020066889632,4.0011500862564695,1.5303388494877856,
Orb of Alteration-Exalted Orb,0.173355629877369,8.558941920644049,6.589440504334122,
Orb of Alchemy-Vaal Orb,0.17112597547380157,8.810235767682576,2.1678486997635935,
Exalted Orb-Chromatic Orb,0.16276477146042365,4.300747556066705,5.901497241922774,
